dish	diam1	diam2	week	moist
1	12.18	12.18	1	Wet
1	20.01	106.19	2	Wet
1	120.15	127.13	3	Wet
1	162.35	154.84	4	Wet
1	272.94	203.62	5	Wet
1	424.96	260.92	6	Wet
1	519.57	357.30	7	Wet
1	720.73	745.52	8	Wet
1	902.51	823.41	9	Wet
2	4.48	4.48	1	Mod
2	68.24	19.86	2	Mod
2	118.21	178.28	3	Mod
2	373.92	357.15	4	Mod
2	385.50	579.34	5	Mod
2	634.69	731.00	6	Mod
2	786.38	844.26	7	Mod
2	846.73	845.00	8	Mod
2	1273.46	865.00	9	Mod
3	1.02	1.05	1	Dry
3	39.05	10.31	2	Dry
3	39.73	67.38	3	Dry
3	305.03	261.45	4	Dry
3	316.88	324.60	5	Dry
3	319.85	387.20	6	Dry
3	352.34	625.92	7	Dry
3	474.47	639.98	8	Dry
3	564.78	933.92	9	Dry
4	12.18	12.18	1	Wet
4	38.67	86.88	2	Wet
4	83.59	176.95	3	Wet
4	183.68	313.98	4	Wet
4	187.39	671.48	5	Wet
4	200.03	848.91	6	Wet
4	251.99	1318.49	7	Wet
4	272.30	1439.76	8	Wet
4	382.93	1695.87	9	Wet
5	4.48	4.48	1	Mod
5	70.42	49.09	2	Mod
5	165.70	133.79	3	Mod
5	167.00	254.12	4	Mod
5	279.85	316.46	5	Mod
5	420.41	573.87	6	Mod
5	423.97	589.51	7	Mod
5	566.46	741.26	8	Mod
5	733.50	769.63	9	Mod
6	1.00	1.09	1	Dry
6	17.08	124.50	2	Dry
6	148.72	161.92	3	Dry
6	203.79	376.49	4	Dry
6	368.46	419.37	5	Dry
6	453.71	456.81	6	Dry
6	500.94	794.43	7	Dry
6	619.44	1078.28	8	Dry
6	804.93	1114.22	9	Dry
7	12.18	12.18	1	Wet
7	23.76	56.09	2	Wet
7	96.42	193.27	3	Wet
7	121.33	226.79	4	Wet
7	137.69	424.59	5	Wet
7	212.91	495.86	6	Wet
7	336.78	673.85	7	Wet
7	543.97	826.06	8	Wet
7	941.37	1205.86	9	Wet
8	4.48	4.48	1	Mod
8	6.80	39.13	2	Mod
8	57.58	182.20	3	Mod
8	79.41	384.18	4	Mod
8	291.03	549.31	5	Mod
8	293.70	755.82	6	Mod
8	398.04	1003.67	7	Mod
8	405.76	1083.30	8	Mod
8	591.87	1278.00	9	Mod
9	1.04	1.07	1	Dry
9	2.71	62.77	2	Dry
9	58.61	103.74	3	Dry
9	184.19	197.40	4	Dry
9	340.90	201.81	5	Dry
9	462.68	327.17	6	Dry
9	495.25	467.34	7	Dry
9	678.37	620.53	8	Dry
9	856.26	686.75	9	Dry
10	12.18	12.18	1	Wet
10	16.33	69.22	2	Wet
10	97.15	129.72	3	Wet
10	123.23	200.38	4	Wet
10	145.12	345.93	5	Wet
10	173.18	505.77	6	Wet
10	306.99	636.39	7	Wet
10	368.69	808.01	8	Wet
10	637.00	1030.31	9	Wet
11	4.48	4.48	1	Mod
11	45.06	24.64	2	Mod
11	100.23	94.86	3	Mod
11	177.40	308.28	4	Mod
11	289.72	352.71	5	Mod
11	364.43	487.34	6	Mod
11	455.54	678.37	7	Mod
11	516.16	721.04	8	Mod
11	564.63	1119.62	9	Mod
12	1.08	1.01	1	Dry
12	13.07	4.52	2	Dry
12	103.62	158.09	3	Dry
12	105.09	163.32	4	Dry
12	134.88	175.19	5	Dry
12	151.70	253.31	6	Dry
12	298.88	311.04	7	Dry
12	444.08	350.02	8	Dry
12	549.41	490.20	9	Dry
