phase litter rat times oregano AP
1 1 1 0 0 144.4
1 1 1 2 0 158.3
1 1 1 4 0 135.1
1 1 2 0 1 148.1
1 1 2 2 1 148.5
1 1 2 4 1 140.9
1 1 3 0 0 153.8
1 1 3 2 0 143.9
1 1 3 4 0 137.1
1 1 4 0 1 163.8
1 1 4 2 1 155.3
1 1 4 4 1 142.3
1 1 5 0 1 144.8
1 1 5 2 1 147.8
1 1 5 4 1 137.7
1 1 6 0 0 137.9
1 1 6 2 0 134.4
1 1 6 4 0 154.0
1 2 7 0 0 158.0
1 2 7 2 0 146.5
1 2 7 4 0 145.1
1 2 8 0 0 146.0
1 2 8 2 0 143.4
1 2 8 4 0 142.4
1 2 9 0 1 145.9
1 2 9 2 1 135.1
1 2 9 4 1 152.7
1 2 10 0 0 156.3
1 2 10 2 0 155.2
1 2 10 4 0 144.8
1 2 11 0 1 137.1
1 2 11 2 1 149.6
1 2 11 4 1 137.3
1 2 12 0 1 135.7
1 2 12 2 1 136.9
1 2 12 4 1 131.5
1 3 13 0 0 134.5
1 3 13 2 0 146.2
1 3 13 4 0 139.9
1 3 14 0 0 138.8
1 3 14 2 0 127.3
1 3 14 4 0 140.6
1 3 15 0 1 142.3
1 3 15 2 1 146.6
1 3 15 4 1 135.7
1 3 16 0 0 134.7
1 3 16 2 0 141.8
1 3 16 4 0 129.8
1 3 17 0 1 145.5
1 3 17 2 1 159.7
1 3 17 4 1 144.7
1 3 18 0 1 150.8
1 3 18 2 1 141.2
1 3 18 4 1 148.3
1 4 19 0 1 132.1
1 4 19 2 1 144.5
1 4 19 4 1 140.8
1 4 20 0 1 129.6
1 4 20 2 1 135.5
1 4 20 4 1 117.4
1 4 21 0 1 141.1
1 4 21 2 1 133.2
1 4 21 4 1 135.0
1 4 22 0 0 134.0
1 4 22 2 0 133.2
1 4 22 4 0 146.7
1 4 23 0 0 131.5
1 4 23 2 0 140.7
1 4 23 4 0 130.8
1 4 24 0 0 140.1
1 4 24 2 0 133.8
1 4 24 4 0 154.6
1 5 25 0 1 146.3
1 5 25 2 1 142.4
1 5 25 4 1 152.8
1 5 26 0 0 152.3
1 5 26 2 0 142.9
1 5 26 4 0 143.5
1 5 27 0 0 159.1
1 5 27 2 0 148.9
1 5 27 4 0 156.5
1 5 28 0 1 161.3
1 5 28 2 1 158.0
1 5 28 4 1 148.8
1 5 29 0 0 166.2
1 5 29 2 0 152.8
1 5 29 4 0 153.5
1 5 30 0 1 172.9
1 5 30 2 1 143.0
1 5 30 4 1 171.4
1 6 31 0 0 153.0
1 6 31 2 0 142.7
1 6 31 4 0 149.1
1 6 32 0 1 139.0
1 6 32 2 1 139.5
1 6 32 4 1 141.4
1 6 33 0 0 139.8
1 6 33 2 0 152.3
1 6 33 4 0 161.2
1 6 34 0 1 132.2
1 6 34 2 1 142.3
1 6 34 4 1 140.1
1 6 35 0 0 146.4
1 6 35 2 0 137.1
1 6 35 4 0 128.3
1 6 36 0 1 142.8
1 6 36 2 1 143.1
1 6 36 4 1 137.0
1 7 37 0 0 144.9
1 7 37 2 0 141.2
1 7 37 4 0 128.4
1 7 38 0 1 144.0
1 7 38 2 1 146.9
1 7 38 4 1 140.6
1 7 39 0 0 139.0
1 7 39 2 0 140.2
1 7 39 4 0 138.7
1 7 40 0 1 142.3
1 7 40 2 1 138.9
1 7 40 4 1 140.7
1 7 41 0 0 143.5
1 7 41 2 0 136.7
1 7 41 4 0 127.0
1 7 42 0 1 137.8
1 7 42 2 1 136.1
1 7 42 4 1 130.7
1 8 43 0 1 136.9
1 8 43 2 1 130.1
1 8 43 4 1 142.2
1 8 44 0 1 135.7
1 8 44 2 1 130.5
1 8 44 4 1 140.9
1 8 45 0 0 130.6
1 8 45 2 0 142.3
1 8 45 4 0 141.2
1 8 46 0 0 138.2
1 8 46 2 0 144.7
1 8 46 4 0 128.0
1 8 47 0 0 131.5
1 8 47 2 0 131.4
1 8 47 4 0 129.9
1 8 48 0 1 126.0
1 8 48 2 1 127.7
1 8 48 4 1 124.3
2 9 49 0 1 133.4
2 9 49 2 1 123.7
2 9 49 4 1 127.6
2 9 50 0 1 142.3
2 9 50 2 1 135.6
2 9 50 4 1 124.6
2 9 51 0 0 136.4
2 9 51 2 0 147.0
2 9 51 4 0 144.8
2 9 52 0 0 151.0
2 9 52 2 0 126.5
2 9 52 4 0 144.9
2 9 53 0 0 135.5
2 9 53 2 0 135.0
2 9 53 4 0 140.5
2 9 54 0 1 138.7
2 9 54 2 1 143.2
2 9 54 4 1 126.3
2 10 55 0 0 138.2
2 10 55 2 0 137.6
2 10 55 4 0 146.9
2 10 56 0 1 153.1
2 10 56 2 1 146.0
2 10 56 4 1 140.5
2 10 57 0 0 144.2
2 10 57 2 0 152.9
2 10 57 4 0 137.6
2 10 58 0 0 148.7
2 10 58 2 0 150.3
2 10 58 4 0 141.0
2 10 59 0 1 151.8
2 10 59 2 1 143.3
2 10 59 4 1 139.5
2 10 60 0 1 146.0
2 10 60 2 1 140.2
2 10 60 4 1 149.6
2 11 61 0 0 147.3
2 11 61 2 0 147.8
2 11 61 4 0 136.8
2 11 62 0 0 151.6
2 11 62 2 0 144.9
2 11 62 4 0 154.0
2 11 63 0 1 151.0
2 11 63 2 1 141.3
2 11 63 4 1 145.6
2 11 64 0 1 157.5
2 11 64 2 1 140.6
2 11 64 4 1 152.0
2 11 65 0 0 147.5
2 11 65 2 0 156.4
2 11 65 4 0 146.5
2 11 66 0 1 147.7
2 11 66 2 1 157.1
2 11 66 4 1 141.9
2 12 67 0 0 144.6
2 12 67 2 0 155.8
2 12 67 4 0 149.7
2 12 68 0 1 145.4
2 12 68 2 1 153.2
2 12 68 4 1 151.5
2 12 69 0 1 152.2
2 12 69 2 1 139.3
2 12 69 4 1 132.9
2 12 70 0 0 166.5
2 12 70 2 0 141.4
2 12 70 4 0 158.7
2 12 71 0 1 155.0
2 12 71 2 1 154.5
2 12 71 4 1 138.2
2 12 72 0 0 136.4
2 12 72 2 0 146.0
2 12 72 4 0 141.6
2 13 73 0 0 132.0
2 13 73 2 0 153.3
2 13 73 4 0 139.6
2 13 74 0 1 137.4
2 13 74 2 1 143.0
2 13 74 4 1 147.6
2 13 75 0 0 134.6
2 13 75 2 0 132.4
2 13 75 4 0 139.2
2 13 76 0 1 154.2
2 13 76 2 1 148.6
2 13 76 4 1 144.2
2 13 77 0 1 139.0
2 13 77 2 1 148.9
2 13 77 4 1 141.0
2 13 78 0 0 137.2
2 13 78 2 0 132.6
2 13 78 4 0 144.6
2 14 79 0 1 146.7
2 14 79 2 1 135.9
2 14 79 4 1 128.9
2 14 80 0 0 138.5
2 14 80 2 0 147.7
2 14 80 4 0 146.2
2 14 81 0 1 143.6
2 14 81 2 1 145.4
2 14 81 4 1 142.8
2 14 82 0 0 140.7
2 14 82 2 0 132.6
2 14 82 4 0 137.9
2 14 83 0 0 138.3
2 14 83 2 0 133.3
2 14 83 4 0 126.7
2 14 84 0 1 140.9
2 14 84 2 1 142.6
2 14 84 4 1 125.4
2 15 85 0 1 134.3
2 15 85 2 1 132.0
2 15 85 4 1 138.6
2 15 86 0 0 133.5
2 15 86 2 0 137.4
2 15 86 4 0 144.8
2 15 87 0 0 129.7
2 15 87 2 0 129.5
2 15 87 4 0 128.1
2 15 88 0 0 138.6
2 15 88 2 0 140.9
2 15 88 4 0 136.4
2 15 89 0 1 150.0
2 15 89 2 1 140.8
2 15 89 4 1 139.1
2 15 90 0 1 140.7
2 15 90 2 1 132.3
2 15 90 4 1 139.0
2 16 91 0 0 142.4
2 16 91 2 0 145.2
2 16 91 4 0 150.3
2 16 92 0 1 148.7
2 16 92 2 1 142.6
2 16 92 4 1 146.5
2 16 93 0 1 143.5
2 16 93 2 1 143.0
2 16 93 4 1 154.8
2 16 94 0 0 140.8
2 16 94 2 0 136.0
2 16 94 4 0 143.6
2 16 95 0 1 131.5
2 16 95 2 1 137.6
2 16 95 4 1 149.3
2 16 96 0 0 137.4
2 16 96 2 0 130.8
2 16 96 4 0 152.4
3 17 97 0 0 133.8
3 17 97 2 0 136.1
3 17 97 4 0 146.0
3 17 98 0 0 130.8
3 17 98 2 0 137.0
3 17 98 4 0 132.6
3 17 99 0 1 133.9
3 17 99 2 1 136.1
3 17 99 4 1 125.8
3 17 100 0 1 129.4
3 17 100 2 1 114.3
3 17 100 4 1 115.4
3 17 101 0 1 135.1
3 17 101 2 1 132.8
3 17 101 4 1 134.7
3 17 102 0 0 147.9
3 17 102 2 0 139.7
3 17 102 4 0 132.5
3 18 103 0 1 154.9
3 18 103 2 1 152.4
3 18 103 4 1 146.4
3 18 104 0 0 142.1
3 18 104 2 0 144.4
3 18 104 4 0 128.7
3 18 105 0 1 136.8
3 18 105 2 1 142.3
3 18 105 4 1 122.4
3 18 106 0 0 135.8
3 18 106 2 0 146.6
3 18 106 4 0 128.6
3 18 107 0 0 137.8
3 18 107 2 0 152.5
3 18 107 4 0 151.4
3 18 108 0 1 160.5
3 18 108 2 1 141.3
3 18 108 4 1 144.6
3 19 109 0 1 129.1
3 19 109 2 1 121.5
3 19 109 4 1 123.1
3 19 110 0 0 138.7
3 19 110 2 0 134.3
3 19 110 4 0 139.8
3 19 111 0 0 148.0
3 19 111 2 0 137.9
3 19 111 4 0 140.4
3 19 112 0 1 136.1
3 19 112 2 1 131.3
3 19 112 4 1 132.1
3 19 113 0 1 153.4
3 19 113 2 1 147.4
3 19 113 4 1 134.1
3 19 114 0 0 129.1
3 19 114 2 0 136.1
3 19 114 4 0 128.2
3 20 115 0 0 137.8
3 20 115 2 0 128.5
3 20 115 4 0 142.4
3 20 116 0 0 142.7
3 20 116 2 0 153.1
3 20 116 4 0 154.3
3 20 117 0 1 136.4
3 20 117 2 1 150.4
3 20 117 4 1 133.0
3 20 118 0 1 164.0
3 20 118 2 1 143.4
3 20 118 4 1 149.3
3 20 119 0 0 142.1
3 20 119 2 0 156.2
3 20 119 4 0 144.0
3 20 120 0 1 135.6
3 20 120 2 1 126.7
