bacteria	batch	duration
6.092	1	1
5.810	1	1
4.504	1	2
4.346	1	2
5.163	1	3
2.723	1	3
4.671	1	4
3.051	1	4
2.515	1	5
-0.035	1	5
5.338	2	1
7.673	2	1
5.160	2	2
8.007	2	2
5.639	2	3
5.480	2	3
4.963	2	4
2.917	2	4
3.396	2	5
3.834	2	5
1.179	3	1
5.280	3	1
1.734	3	2
4.078	3	2
1.397	3	3
2.802	3	3
5.000	3	4
2.441	3	4
4.669	3	5
3.274	3	5
5.515	4	1
5.372	4	1
8.204	4	2
6.282	4	2
5.515	4	3
3.453	4	3
6.657	4	4
9.986	4	4
4.273	4	5
4.967	4	5
5.649	5	1
6.097	5	1
5.037	5	2
4.634	5	2
4.920	5	3
3.947	5	3
4.984	5	4
4.398	5	4
3.947	5	5
3.951	5	5
4.902	6	1
4.605	6	1
4.730	6	2
3.039	6	2
4.429	6	3
2.801	6	3
4.501	6	4
5.680	6	4
7.284	6	5
4.031	6	5
10.022	7	1
10.105	7	1
6.114	7	2
8.968	7	2
7.199	7	3
9.023	7	3
6.673	7	4
3.101	7	4
5.964	7	5
7.245	7	5
8.636	8	1
7.551	8	1
5.407	8	2
8.131	8	2
4.138	8	3
4.684	8	3
4.607	8	4
5.975	8	4
0.461	8	5
0.873	8	5
8.237	9	1
6.551	9	1
6.539	9	2
7.208	9	2
4.840	9	3
4.813	9	3
5.541	9	4
5.338	9	4
3.675	9	5
6.958	9	5
7.340	10	1
6.914	10	1
6.979	10	2
4.537	10	2
6.149	10	3
6.177	10	3
3.589	10	4
6.997	10	4
4.218	10	5
4.814	10	5
