phase litter rat oregano apchange
1 1 1 0 -9.2
1 1 2 1 -7.3
1 1 3 0 -16.7
1 1 4 1 -21.5
1 1 5 1 -7.1
1 1 6 0 16.1
1 2 7 0 -12.9
1 2 8 0 -3.6
1 2 9 1 6.8
1 2 10 0 -11.5
1 2 11 1 0.2
1 2 12 1 -4.2
1 3 13 0 5.4
1 3 14 0 1.8
1 3 15 1 -6.6
1 3 16 0 -4.8
1 3 17 1 -0.8
1 3 18 1 -2.5
1 4 19 1 8.7
1 4 20 1 -12.3
1 4 21 1 -6.1
1 4 22 0 12.8
1 4 23 0 -0.7
1 4 24 0 14.5
1 5 25 1 6.5
1 5 26 0 -8.8
1 5 27 0 -2.7
1 5 28 1 -12.6
1 5 29 0 -12.7
1 5 30 1 -1.5
1 6 31 0 -3.9
1 6 32 1 2.5
1 6 33 0 21.5
1 6 34 1 8.0
1 6 35 0 -18.1
1 6 36 1 -5.8
1 7 37 0 -16.5
1 7 38 1 -3.3
1 7 39 0 -0.2
1 7 40 1 -1.6
1 7 41 0 -16.5
1 7 42 1 -7.1
1 8 43 1 5.3
1 8 44 1 5.1
1 8 45 0 10.6
1 8 46 0 -10.3
1 8 47 0 -1.6
1 8 48 1 -1.7
2 9 49 1 -5.8
2 9 50 1 -17.6
2 9 51 0 8.3
2 9 52 0 -6.1
2 9 53 0 5.0
2 9 54 1 -12.4
2 10 55 0 8.7
2 10 56 1 -12.6
2 10 57 0 -6.6
2 10 58 0 -7.7
2 10 59 1 -12.2
2 10 60 1 3.6
2 11 61 0 -10.6
2 11 62 0 2.4
2 11 63 1 -5.3
2 11 64 1 -5.5
2 11 65 0 -1.0
2 11 66 1 -5.7
2 12 67 0 5.1
2 12 68 1 6.1
2 12 69 1 -19.4
2 12 70 0 -7.9
2 12 71 1 -16.9
2 12 72 0 5.3
2 13 73 0 7.6
2 13 74 1 10.2
2 13 75 0 4.6
2 13 76 1 -10.1
2 13 77 1 1.9
2 13 78 0 7.4
2 14 79 1 -17.8
2 14 80 0 7.7
2 14 81 1 -0.8
2 14 82 0 -2.8
2 14 83 0 -11.5
2 14 84 1 -15.6
2 15 85 1 4.3
2 15 86 0 11.3
2 15 87 0 -1.6
2 15 88 0 -2.2
2 15 89 1 -10.9
2 15 90 1 -1.8
2 16 91 0 7.9
2 16 92 1 -2.2
2 16 93 1 11.3
2 16 94 0 2.8
2 16 95 1 17.8
2 16 96 0 15.0
3 17 97 0 12.2
3 17 98 0 1.8
3 17 99 1 -8.1
3 17 100 1 -14.0
3 17 101 1 -0.4
3 17 102 0 -15.3
3 18 103 1 -8.5
3 18 104 0 -13.4
3 18 105 1 -14.4
3 18 106 0 -7.2
3 18 107 0 13.6
3 18 108 1 -15.9
3 19 109 1 -6.0
3 19 110 0 1.1
3 19 111 0 -7.6
3 19 112 1 -4.0
3 19 113 1 -19.3
3 19 114 0 -1.0
3 20 115 0 4.6
3 20 116 0 11.6
3 20 117 1 -3.5
3 20 118 1 -14.7
3 20 119 0 1.9
3 20 120 1 0.7
3 21 121 0 10.2
3 21 122 0 -17.1
3 21 123 1 3.6
3 21 124 1 -4.4
3 21 125 1 12.7
3 21 126 0 -6.1
3 22 127 0 9.9
3 22 128 0 7.0
3 22 129 0 -2.5
3 22 130 1 -4.2
3 22 131 1 -1.9
3 22 132 1 1.6
3 23 133 1 -17.3
3 23 134 0 -15.4
3 23 135 0 5.4
3 23 136 1 -6.3
3 23 137 1 3.3
3 23 138 0 -8.5
3 24 139 1 -2.9
3 24 140 0 -3.5
3 24 141 1 -6.6
3 24 142 0 -13.4
3 24 143 0 -0.3
3 24 144 1 1.7
