homeid	personid	satisfaction	trt
1	1	12	3
1	2	17	2
1	3	6	1
1	4	11	2
1	5	11	2
1	6	9	1
1	7	9	3
1	8	11	3
1	9	14	1
1	10	19	1
1	11	5	3
1	12	10	1
1	13	14	1
1	14	13	2
1	15	13	3
1	16	18	3
1	17	7	1
1	18	12	2
1	19	10	2
1	20	14	1
1	21	14	1
2	22	7	3
2	23	9	3
2	24	5	1
2	25	11	1
2	26	11	2
2	27	13	3
3	28	11	1
3	29	9	3
3	30	8	3
3	31	9	1
3	32	8	1
3	33	12	1
3	34	11	1
3	35	16	3
4	36	11	3
4	37	14	3
4	38	15	2
4	39	12	3
4	40	15	3
4	41	7	3
4	42	13	3
4	43	0	3
4	44	5	1
4	45	10	3
4	46	3	2
4	47	6	1
4	48	15	2
4	49	9	2
5	50	10	3
5	51	13	1
5	52	15	3
5	53	14	1
5	54	12	1
5	55	17	3
5	56	20	2
5	57	11	2
5	58	7	1
5	59	8	3
5	60	11	1
5	61	13	3
5	62	14	3
5	63	7	1
5	64	12	3
5	65	11	3
5	66	8	1
5	67	16	3
5	68	14	1
5	69	11	1
6	70	15	2
6	71	11	3
6	72	14	3
6	73	9	2
6	74	14	3
6	75	12	2
6	76	11	3
6	77	10	1
6	78	4	1
6	79	18	2
7	80	10	1
7	81	15	2
7	82	11	1
7	83	8	3
7	84	13	3
7	85	11	3
7	86	8	1
7	87	12	1
7	88	7	1
7	89	16	3
8	90	11	1
8	91	8	2
8	92	11	2
8	93	7	3
9	94	11	3
9	95	8	3
9	96	11	1
9	97	11	1
9	98	14	2
9	99	13	3
9	100	12	2
9	101	16	2
9	102	10	1
9	103	12	3
9	104	12	2
9	105	14	2
9	106	12	1
10	107	13	2
10	108	11	2
10	109	12	2
10	110	11	3
10	111	12	2
10	112	19	2
10	113	13	1
10	114	14	3
10	115	12	2
10	116	13	2
10	117	10	2
10	118	9	1
11	119	15	3
11	120	14	2
11	121	16	2
11	122	17	2
11	123	13	3
11	124	13	3
11	125	19	2
12	126	8	2
12	127	1	3
12	128	9	3
12	129	10	1
12	130	6	1
12	131	6	2
12	132	3	3
12	133	5	1
12	134	8	3
12	135	1	1
12	136	4	3
12	137	2	1
12	138	7	3
13	139	11	1
13	140	12	1
13	141	11	1
13	142	15	1
13	143	14	1
13	144	8	2
13	145	10	1
13	146	5	1
13	147	11	2
13	148	15	2
13	149	9	3
13	150	9	1
13	151	17	2
13	152	5	3
13	153	10	1
14	154	15	2
14	155	5	3
14	156	10	1
14	157	10	1
14	158	16	1
14	159	11	1
14	160	6	2
14	161	13	3
14	162	9	2
15	163	8	1
15	164	8	3
15	165	11	3
15	166	12	2
15	167	7	1
15	168	8	3
15	169	6	1
15	170	9	1
15	171	5	1
15	172	9	3
15	173	7	1
15	174	12	1
15	175	7	1
15	176	9	2
15	177	3	3
15	178	7	3
15	179	10	2
15	180	9	3
15	181	9	3
15	182	13	3
15	183	8	2
15	184	12	1
15	185	10	1
15	186	8	3
16	187	10	1
16	188	11	3
16	189	8	1
16	190	10	2
16	191	9	2
16	192	9	1
16	193	9	1
17	194	15	3
17	195	10	2
17	196	14	1
17	197	13	3
17	198	11	3
17	199	13	2
17	200	15	2
17	201	13	3
17	202	12	1
17	203	15	1
17	204	19	2
17	205	17	3
17	206	17	2
17	207	14	3
17	208	13	2
18	209	12	3
18	210	13	3
18	211	12	2
18	212	17	1
18	213	13	2
18	214	9	3
18	215	9	3
18	216	16	1
18	217	12	3
18	218	10	1
18	219	13	2
18	220	11	2
18	221	13	3
18	222	13	1
18	223	16	3
18	224	12	1
18	225	12	1
18	226	15	2
19	227	9	2
19	228	12	2
19	229	12	3
19	230	11	1
19	231	18	2
19	232	19	2
19	233	18	2
19	234	14	1
19	235	11	1
19	236	13	3
19	237	19	2
19	238	11	3
19	239	18	2
19	240	10	1
19	241	12	3
19	242	16	2
19	243	9	3
19	244	12	1
19	245	12	3
19	246	7	1
19	247	16	2
19	248	13	1
19	249	16	2
19	250	16	3
20	251	16	1
20	252	13	2
20	253	16	3
20	254	12	1
20	255	16	3
20	256	14	1
20	257	18	1
20	258	18	2
21	259	12	3
21	260	15	3
21	261	3	3
21	262	15	2
22	263	14	3
22	264	12	3
22	265	12	2
22	266	11	3
22	267	15	2
22	268	15	1
22	269	17	2
22	270	10	2
22	271	11	1
22	272	13	1
22	273	11	1
22	274	17	2
22	275	19	2
22	276	10	3
22	277	17	1
22	278	15	2
22	279	14	3
22	280	7	1
22	281	13	3
23	282	16	3
23	283	13	3
23	284	18	1
23	285	17	2
23	286	13	1
23	287	19	3
23	288	20	2
23	289	14	3
23	290	20	2
23	291	16	1
23	292	18	3
23	293	17	3
23	294	19	3
23	295	18	2
24	296	18	1
24	297	16	3
24	298	14	1
24	299	15	2
24	300	14	1
24	301	11	1
24	302	16	2
24	303	16	1
24	304	12	1
24	305	12	1
24	306	15	2
24	307	18	1
24	308	18	3
24	309	14	1
24	310	14	1
24	311	19	3
24	312	14	3
24	313	13	3
24	314	15	3
24	315	19	3
24	316	16	2
24	317	18	3
24	318	13	1
24	319	14	3
25	320	18	2
25	321	12	2
25	322	16	2
25	323	19	1
25	324	19	2
25	325	19	1
25	326	15	2
25	327	13	2
25	328	15	1
25	329	18	2
26	330	19	2
26	331	9	2
26	332	11	1
26	333	14	2
26	334	13	1
26	335	10	2
26	336	9	2
26	337	8	3
26	338	4	1
26	339	10	3
26	340	7	3
26	341	10	3
26	342	15	1
26	343	10	1
26	344	8	2
26	345	17	2
26	346	13	3
26	347	11	1
